Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ARG,202127,20 – 30,3,0,0,0,0,38,41
ARG,202127,30 – 40,1,0,4,0,0,53,58
ARG,202127,40 – 50,0,0,3,0,0,35,38
ARG,202127,5 – 10,0,0,0,0,0,4,4
ARG,202127,50 – 60,0,0,0,0,0,38,38
ARG,202127,60 – 70,0,0,0,0,0,18,18
ARG,202127,70 – 80,0,0,0,0,0,21,21
ARG,202127,>= 80,1,0,0,0,0,15,16
ARG,202128,1 – 5,0,0,0,0,0,4,4
ARG,202128,10 – 20,0,0,0,0,0,15,15
ARG,202128,20 – 30,1,0,3,0,0,30,34
ARG,202128,30 – 40,2,0,5,0,0,41,48
ARG,202128,40 – 50,2,0,7,0,0,50,59
ARG,202128,5 – 10,0,0,1,0,0,2,3
ARG,202128,50 – 60,0,0,4,0,0,29,33
ARG,202128,60 – 70,0,0,2,0,0,14,16
ARG,202128,70 – 80,0,0,1,0,0,15,16
ARG,202128,>= 80,0,0,1,0,0,16,17
ARG,202129,1 – 5,0,0,0,0,0,1,1
ARG,202129,10 – 20,2,0,2,0,0,5,9
ARG,202129,20 – 30,1,0,4,0,0,22,27
ARG,202129,30 – 40,2,0,5,0,0,35,42
ARG,202129,40 – 50,3,0,1,0,0,35,39
ARG,202129,5 – 10,0,0,2,0,0,2,4
ARG,202129,50 – 60,1,0,4,0,0,10,15
ARG,202129,60 – 70,0,0,3,0,0,16,19
ARG,202129,70 – 80,1,0,0,0,0,12,13
ARG,202129,>= 80,0,0,0,0,0,12,12
ARG,202130,1 – 5,0,0,0,0,0,1,1
ARG,202130,10 – 20,1,0,4,0,0,16,21
ARG,202130,20 – 30,2,0,9,0,0,30,41
ARG,202130,30 – 40,0,0,4,0,0,47,51
ARG,202130,40 – 50,0,0,8,0,0,30,38
ARG,202130,5 – 10,0,0,2,0,0,0,2
ARG,202130,50 – 60,0,0,3,0,0,27,30
ARG,202130,60 – 70,2,0,2,0,0,25,29
ARG,202130,70 – 80,0,0,1,0,0,17,18
ARG,202130,>= 80,1,0,0,0,0,7,8
ARG,202131,1 – 5,0,0,0,0,0,3,3
ARG,202131,10 – 20,0,0,6,0,0,35,41
ARG,202131,20 – 30,1,0,6,0,0,49,56
ARG,202131,30 – 40,1,0,6,0,0,71,78
ARG,202131,40 – 50,1,0,8,0,0,44,53
ARG,202131,5 – 10,0,0,6,0,0,3,9
ARG,202131,50 – 60,0,0,5,0,0,49,54
ARG,202131,60 – 70,0,0,4,0,0,19,23
ARG,202131,70 – 80,2,0,3,0,0,13,18
ARG,202131,>= 80,0,0,0,0,0,10,10
ARG,202132,1 – 5,1,0,0,0,0,4,5
ARG,202132,10 – 20,0,0,5,0,0,15,20
ARG,202132,20 – 30,1,0,8,0,0,27,36
ARG,202132,30 – 40,0,0,3,0,0,32,35
ARG,202132,40 – 50,1,0,6,0,0,32,39
ARG,202132,5 – 10,0,0,2,0,0,2,4
ARG,202132,50 – 60,0,0,6,0,0,29,35
ARG,202132,60 – 70,0,0,2,0,0,20,22
ARG,202132,70 – 80,0,0,6,0,0,14,20
ARG,202132,>= 80,0,0,1,0,0,12,13
ARG,202133,1 – 5,1,0,0,0,0,0,1
ARG,202133,10 – 20,0,0,4,0,0,15,19
ARG,202133,20 – 30,1,0,2,0,0,36,39
ARG,202133,30 – 40,1,0,6,0,0,38,45
ARG,202133,40 – 50,2,0,8,0,0,42,52
ARG,202133,5 – 10,0,0,2,0,0,1,3
ARG,202133,50 – 60,0,0,4,0,0,30,34
